resource,parent,comment
storage_resource,logistics_resource,
floor_bound_storage_resource,storage_resource,
static_shelf_storage,storage_resource,
dynamic_shelf_storage,storage_resource,
conveyor_storage,storage_resource,
transport_resource,logistics_resource,
continuous_conveyor,transport_resource,
floor_bound_continuous_conveyor,continuous_conveyor,
elevated_continuous_conveyor,continuous_conveyor,
belt_conveyor,elevated_continuous_conveyor,
floor_free_continuous_conveyor,continuous_conveyor,
discontinuous_conveyor,transport_resource,
floor_bound_discontinuous_conveyor,discontinuous_conveyor,
elevated_discontinuous_conveyor,discontinuous_conveyor,
turning_table,elevated_discontinuous_conveyor,
floor_free_discontinuous_conveyor,discontinuous_conveyor,
commissioning_resource,logistics_resource,
stationary_robot,commissioning_resource,
mobile_robot,commissioning_resource,
transport_personnel,transport_resource,
filling_station,manufacturing_resource,
pellet_dispenser,manufacturing_resource,
fluid_dispenser,manufacturing_resource,
